Brazil,BRA,1990,74.96820394,44.08927983,28.3645954,3.330584207
Brazil,BRA,1991,71.52504713,41.12989233,27.91652838,3.272506325
Brazil,BRA,1992,69.97593943,39.07268896,28.3773666,3.321152882
Brazil,BRA,1993,69.34643707,37.34667875,29.37063428,3.439489571
Brazil,BRA,1994,66.74579837,34.60870934,29.48986301,3.445358532
Brazil,BRA,1995,63.54859167,31.67094869,29.22721468,3.430127304
Brazil,BRA,1996,60.67756777,28.99883016,29.05150605,3.388294763
Brazil,BRA,1997,57.64588616,26.46345086,28.61517672,3.30008531
Brazil,BRA,1998,55.80798642,24.57865801,28.66824548,3.280579176
Brazil,BRA,1999,53.55486901,22.57334214,28.4739981,3.199051783
Brazil,BRA,2000,50.99685632,20.8310204,27.74729906,3.073792117
Brazil,BRA,2001,49.46436494,19.60497009,27.52713141,2.959878395
Brazil,BRA,2002,48.04439382,18.43801183,27.33642426,2.874268763
Brazil,BRA,2003,46.84749924,17.33780461,27.28240754,2.81194776
Brazil,BRA,2004,45.22023967,16.12133784,26.94279834,2.713384918
Brazil,BRA,2005,42.49168369,14.52954601,25.93395975,2.54291483
Brazil,BRA,2006,41.46829486,13.46000659,26.05911377,2.441882213
Brazil,BRA,2007,40.42460065,12.41456526,26.12830238,2.354428824
Brazil,BRA,2008,39.40700664,11.40190038,26.18306375,2.276438959
Brazil,BRA,2009,38.6417012,10.48119836,26.36979211,2.233111416
Brazil,BRA,2010,37.87479724,9.571989485,26.52403903,2.212872646
Canada,CAN,1990,23.74844423,0.146159688,21.82109634,2.024765517
Canada,CAN,1991,23.34036262,0.134791205,21.40546779,2.04662328
Canada,CAN,1992,23.00947051,0.124798227,21.06392332,2.069720313
Canada,CAN,1993,23.03293395,0.11910813,21.03444462,2.135114161
Canada,CAN,1994,22.60287568,0.110767076,20.59546638,2.152504194
Canada,CAN,1995,22.32565536,0.101595462,20.28850516,2.193303497
Canada,CAN,1996,22.18101305,0.094622602,20.15524283,2.192487722
Canada,CAN,1997,21.92768259,0.087754161,19.90847331,2.195940299
Canada,CAN,1998,21.65537673,0.082449155,19.63483846,2.205681289
Canada,CAN,1999,21.17703242,0.075127783,19.17904507,2.189426074
Canada,CAN,2000,20.26486285,0.068183569,18.32699937,2.127732804
Canada,CAN,2001,19.82450759,0.064110816,17.93842709,2.07646422
Canada,CAN,2002,19.52428004,0.060482448,17.66913257,2.047603357
Canada,CAN,2003,19.17032827,0.056474269,17.33862663,2.026864366
Canada,CAN,2004,18.40919357,0.051358801,16.62951593,1.973025388
Canada,CAN,2005,17.79267692,0.048166679,16.03010234,1.954711633
Canada,CAN,2006,17.14391141,0.0447622,15.44551906,1.888735541
Canada,CAN,2007,16.931962,0.043546823,15.22998129,1.895258733
Canada,CAN,2008,16.51813806,0.040746771,14.82923842,1.883242068
Canada,CAN,2009,15.76760014,0.038083073,14.11864741,1.838919974
Canada,CAN,2010,14.88337677,0.034065343,13.28185159,1.786430391
High SDI,,1990,36.91852409,2.898962064,31.60684616,3.003491755
High SDI,,1991,36.24994039,2.697275917,31.13324286,3.00897206
High SDI,,1992,35.15921098,2.458852827,30.29805787,2.983635655
High SDI,,1993,34.64262987,2.255408199,29.95604984,3.012410327
High-middle SDI,,1990,106.0908817,42.39665596,54.84896856,14.39241065
High-middle SDI,,1991,105.3706358,40.54732539,55.93500197,14.36791088
High-middle SDI,,1992,105.2185379,38.84751369,57.49213735,14.25229107
High-middle SDI,,1993,106.4612546,37.19069922,60.37939982,14.16108985
Low-middle SDI,,1990,171.8500921,121.4122008,42.36104609,14.92219395
Low-middle SDI,,1991,170.8179844,119.6589353,43.03533498,14.94638792
Low-middle SDI,,1992,169.1852641,117.5740726,43.47449673,14.89215607
Low-middle SDI,,1993,165.8896605,114.1926003,43.68182746,14.58936378
Low SDI,,1990,218.9306263,160.7867632,48.18433717,20.53245594
Low SDI,,1991,215.6545062,157.3395792,48.44732524,20.30629037
Low SDI,,1992,214.0806024,155.2701597,48.94803851,20.2164157
Low SDI,,1993,210.3346807,152.1789644,48.48486621,19.76349397
Middle SDI,,1990,135.2816343,83.15168485,42.48000369,16.74769844
Middle SDI,,1991,132.8090391,79.77614204,43.3900017,16.61080027
Middle SDI,,1992,130.2182636,76.55046146,44.08723282,16.38840487
Middle SDI,,1993,127.1774977,73.07379246,44.57286193,16.19719517
World,OWID_WRL,1990,111.27636443968218,61.11411292558704,43.678401739506455,10.881087134351224
World,OWID_WRL,1991,110.07219721996069,59.49973897407253,44.06889446120248,10.855326228022417
World,OWID_WRL,1992,108.89226864114688,58.0143485313302,44.38646736674358,10.777760501122552
World,OWID_WRL,1993,107.7590215943773,56.25255907377345,45.03151687654707,10.677203962933694
World,OWID_WRL,1994,106.14278264031599,54.5761687031309,45.133373199051405,10.550625941293763
World,OWID_WRL,1995,103.90981110485541,52.837521447334716,44.723604125559355,10.346484035865123
World,OWID_WRL,1996,102.00343339915618,51.11883523761277,44.62090490225869,10.16447565757861
World,OWID_WRL,1997,100.55489870880244,49.88258392055291,44.475035895905755,10.031728139654868
World,OWID_WRL,1998,98.60863437972613,48.31691801983795,44.17424981767551,9.86638343753956
World,OWID_WRL,1999,95.97299478557693,46.20332742229258,43.84194805490692,9.499443201579389
World,OWID_WRL,2000,93.70188554783945,44.56320771419052,43.374599284146186,9.195418462444765
World,OWID_WRL,2001,91.7177861689108,42.787775832734816,43.34384860798536,8.886959982445516
World,OWID_WRL,2002,90.16607801415225,41.20223338429244,43.5148612510971,8.646533360842486
